location_country_code,location_region,location_city,fundedorg_name,fundedorg_description,fundedorg_short_description,fundedorg_categories,fundedorg_category_groups,fundedorg_permalink,announced_on,funding_type,series,money_raised_usd,n_investors,investor_name,investor_type,investor_investor_type,investor_description,investor_short_description,uuid,Year,Month
China,Shanghai,Shanghai,Banma Network Technologies,"Banma Network Technologies is an Internet car startup. Banma Network Technologies intends to open up its AliOS in-car operating system to developers and carmakers in 2019.

The company is realizing the promise of connected cars to enable the entire car and travel industry.",Banma Network Technologies is an Internet car startup that intends to open up its AliOS in-car operating system to developers and carmakers.,"'Autonomous Vehicles', 'Automotive', 'Internet'","'Transportation', 'Transportation', 'Internet Services'",banma-network-technologies,2018-09-13,venture,A,233000000.0,3.0,SDIC Fund Management,Organization,0,0,SDIC Fund Management,ff0589fd65614870a7b5b4c5cb0d2831,2018,9
Germany,Bayern,München,Blickfeld,Blickfeld develop and sell LiDAR sensors and provide the software to interpret complex 3d point clouds. Our unique technology employs an astonishingly simple and highly integrated MEMS design achieving figures of merit only known from costly R&D equipment.,Blickfeld develop and sell LiDAR sensors and provide the software to interpret complex 3d point clouds.,"'Autonomous Vehicles', 'Sensor', 'Software'","'Transportation', 'Hardware', 'Software'",blickfeld,2018-09-13,seed,0,5700000.0,4.0,0,0,0,0,0,a9ec58ffb28e40769163595cc14efd4c,2018,9
United States,California,San Jose,AutoX,"AutoX is defining the future of Location Based Services with our industry- leading camera-first autonomous driving technology. We are making self-driving vehicles that are reliable, affordable, and above all, accessible to as many people as possible.
Our world-class experts in perception, planning, and controls have already completed our first level 4 autonomous deliveries. We will continue to lead this driverless revolution with the same passion and dedication that brought us so quickly to where we are today.",AutoX is bring Location Based Services with camera-first autonomous driving technology.,"'Autonomous Vehicles', 'Artificial Intelligence', 'Computer Vision'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Hardware', 'Software'",autox-ac12,2018-08-27,venture,A,43000000.0,0.0,0,0,0,0,0,3438ec7e2a964ff7984151d1cb376bbf,2018,8
United States,New York,Brooklyn,CARMERA,"CARMERA provides real-time 3D maps and navigation-critical data for autonomous vehicles, as well as 3D scene reconstruction and site analytics data for professionals in architecture, construction, real estate and other built environment segments.

CARMERA operates an owned and professionally crowdsourced vehicular sensor network built from the ground up, that gathers continually updated 3D scene, change detection and analytics data. Our machine vision and geospatial data pipelines extract rich texture and insight for autonomous vehicles and built environment data customers, while helping make vehicles on city streets safer and adhering to privacy best practices.

CARMERA’s mission is to automate cities by maintaining the world’s most robust real-time, street-level intelligence platform and to make it accessible to anyone.",CARMERA provides real-time HD maps and navigation-critical data to autonomous vehicles.,"'Autonomous Vehicles', 'Mapping Services', 'Big Data', 'Transportation', 'Geospatial'","'Transportation', 'Navigation and Mapping', 'Data and Analytics', 'Transportation', 'Data and Analytics', 'Navigation and Mapping'",carmera,2018-08-23,venture,B,20000000.0,1.0,GV,Organization,"corporate_venture_capital,venture_capital","Launched as Google Ventures in 2009, GV is the venture capital arm of Alphabet, Inc. They’ve invested in more than 300 companies that push the edge of what’s possible. In the fields of life science, healthcare, artificial intelligence, robotics, transportation, cyber security, and agriculture, their companies aim to improve lives and change industries.

They’ve built a team of world-class engineers, designers, physicians, scientists, marketers, and investors who work together to provide these startups exceptional support on the road to success. They help their companies interface with Google, providing unique access to the world’s best technology and talent.","GV provides seed, venture, and growth stage funding to technology companies.",ad8786ac550e43cc83a9bd9a5a8ba984,2018,8
United States,California,Palo Alto,Cabture,"
Across the globe, transportation companies suffer from price wars. despite the 1.1 trillion dollar  (and growing) passenger transportation market, these companies are barely profitable. Taxicabs are affected the most. We are Cabture, and we rescue taxicab companies by bringing them tons of clients. We place interactive screens in the back of cabs, and we generate business from restaurants, hotels, and business centers. We give our venues free marketing, and we create unique experiences for their visitors, if their order a cab for them. It goes viral, and we are very successful in Europe. Only in Amsterdam, we have over 1000 restaurants, the largest hotels, business, and conference centers ordering exclusively with us. I have been in the USA for two months only, and about 90% of North California's taxicabs are about to sign as our clients. After taking over the entire American, European, and Middle Eastern taxi markets, we are going to move towards other means of transportation: airlines, autonomous vehicles, hyperloops. We charge taxicabs monthly subscriptions and commissions on new business, and we sell media content.",Cabture dramatically improves profitability of companies in the transportation sector.,"'Smart Cities', 'Autonomous Vehicles', 'Media and Entertainment', 'Travel', 'Transportation', 'Digital Media', 'Mobile'","'Real Estate', 'Transportation', 'Media and Entertainment', 'Travel and Tourism', 'Transportation', 'Media and Entertainment', 'Mobile'",cabture,2018-08-15,seed,0,154000.0,0.0,0,0,0,0,0,b8277dc0c3114e60afe5841d729b0373,2018,8
United States,California,Mountain View,Ghost Locomotion,"Ghost Locomotion is an automotive company that offers driving services wherever its clients go.

The company is bringing the dream of self-driving to its clients and their car. With people drive more than one billion cars around the world each day, the company aims to make driving safer and more enjoyable, starting by relieving its clients of the unpleasant and dangerous parts of commute.
",Ghost Locomotion is an automotive company that offers driving services wherever its clients go.,"'Autonomous Vehicles', 'Automotive'","'Transportation', 'Transportation'",ghost-locomotion,2018-08-15,venture,0,14999998.0,3.0,0,0,0,0,0,76feaab013a84ea9b7935eba54be15f0,2018,8
United States,California,Palo Alto,DeepMap,"DeepMap is solving the HD mapping & localization and big data management challenge for L4/5 autonomous vehicles.

We are based in Palo Alto, CA, and have blue-chip investors supporting a world-class team from Google Earth, Google Maps, Apple Maps, and Baidu Maps. We are growing our team aggressively yet selectively.

Autonomous mobility will have a huge impact on society and we are excited to be able to help make it a safe reality in partnership with automotive industry companies.",Our unique service turns your self-driving fleet data into high performance maps,"'Autonomous Vehicles', 'Computer', 'Software'","'Transportation', 'Consumer Electronics', 'Hardware', 'Software'",deepmap,2018-08-14,venture,0,0.0,1.0,Robert Bosch Venture Capital,Organization,corporate_venture_capital,"RBVC invests in seed, early-, and late-stage Venture Capital rounds and participates in the follow-on investments in privately held companies. Depending on the stage of the company the initial amount of investment ranges from below EUR 500k for a seed funding to more than EUR 5m in an early- to late-stage funding round. Our typical aggregate investment allocation per portfolio company ranges, including follow-on investments, typically between EUR 6 and 15 million for usually a 10 to 25% equity position in each company. We prefer to syndicate our investments with existing or new investors in the company and can take the lead as necessary. In addition, RBVC invests in select regional or industry-specific independent VC funds.",RBVC invests in start-up companies either directly or via venture capital funds on a worldwide basis.,11665e4e16b84afd8df7cc8467934378,2018,8
France,Ile-de-France,Paris,NAVYA,"NAVYA is a French company specialized in the conception of electric, autonomous systems. For the past 10 years, NAVYA has been developing complex technological solutions towards sustainable mobility. NAVYA is mobilizing its expertise in intelligent transportation to answer the societal, economic, and sustainable challenges of the 21st century.",NAVYA is a Lyon and Paris-based company that develops driverless vehicles for the specific site transportation of goods and people.,"'Autonomous Vehicles', 'Electric Vehicle', 'Robotics', 'Transportation', 'Image Recognition', 'Information Technology'","'Transportation', 'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Transportation', 'Data and Analytics', 'Software', 'Information Technology'",navya-technology,2018-08-09,private_equity,0,34572806.0,1.0,European Investment Bank (EIB),Organization,"government_office,investment_bank","European Investment Bank (EIB) provides lending, borrowing, and treasury services primarily in the European Union.

The company offers project loans for the public and private sectors; loans to banks and other intermediaries; structured finance products; guarantees and securitization instruments for senior and subordinated debts; project bonds; equity and fund investment products such as infrastructure equity and debt funds, and environmental funds; and venture capital funds and security packages for funds.

The company also offers microfinance; risk sharing finance for research, development, and innovation projects; finance and technical expertise for sustainable energy projects; infrastructure project advisory services; support for urban development projects; guarantees for transport infrastructure; and funding for public-private partnerships and small- and medium-sized enterprises.

EIB serves the transportation, global loans, energy, industry, health, education, water, sewerage, infrastructure, services, telecommunications, agriculture, and fisheries sectors.

European Investment Bank was founded in 1958 and is based in Luxembourg.","European Investment Bank (EIB) provides lending, borrowing, and treasury services primarily in the European Union.",16f79788311f4851b2cc00c4394eacfa,2018,8
India,Karnataka,Bangalore,Bounce (Metro Bikes),"Metro Bikes, is India's first smart urban mobility solution, with a mission of making daily commute stress-free, time-saving, reliable and convenient. With Thier new One Way Rental service, users can now pick up and drop the bike anywhere they need to, and be done with the ride. This is predominantly aimed at providing a seamless first mile and last mile connectivity to metro users. We aim at decongesting the roads by encouraging commuters to choose public transport by providing convenient options to rent bikes and reach their destinations from metro stations.","Metro Bikes  is an urban mobility solution that makes daily commute stress-free, time-saving, reliable and convenient. ","'Autonomous Vehicles', 'Recreational Vehicles', 'Rental'","'Transportation', 'Transportation', 'Commerce and Shopping'",metro-bikes,2018-08-08,venture,A,12200000.0,3.0,Sequoia Capital India,Organization,venture_capital,"Sequoia Capital India is a venture capital firm specializing in investments in startup, seed, early, mid, late, series-A, expansion stage, public and growth stage companies. The firm prefers to invest in maturing startups in the information technology sector with a focus on the emerging India-US cross-border companies in the big data analytics, enterprise software, and semiconductors sectors. It seeks to invest in the consumer services, energy, financial services, infrastructure, healthcare services, internet, mobile applications, and outsourcing, wireless and technology sectors. Within consumer services, it invests in agriculture, distribution, education, hospitality, media, retail, packaged goods, and enabling technology. Within energy, it focuses on alternative energy, conventional energy, energy efficiency, energy storage, and energy services markets. Within financial services, it focuses on banking, brokerage, payments, and enabling and financial technology. Within healthcare, it focuses on diagnostic services, healthcare Information Technology, pharmaceuticals, genetics services, lab services, patient services, product development services, and enabling technology. Within internet, it focuses on advertising, communications, cloud computing, e-commerce, gaming, media, search, social networking and enabling technology. Within mobile, it focuses on advertising, applications, communications, devices, gaming, monetization, and enabling technology. Within outsourcing it focuses on business process outsourcing, hosting services, managed services, professional services and software development services. Within technology, it focuses on engineer carrier infrastructure, data, enterprise infrastructure, open source, saas, security, semiconductors, services, and storage. The firm will also invest in companies outside India that can leverage or can potentially leverage India's technology resources. It seeks to invest between $0.1 million and $100 million in its portfolio companies. The firm invests between $100,000 and $1 million in seed stage, between $1 million and $10 million in early stage, and between $10 million and $100 million in growth stage companies. It prefers to act as the lead investor in most transactions. In selected situations the firm partners with other leading venture firms and acts as a co-lead investor. It prefers to take a seat on the board of directors of its portfolio companies. Sequoia Capital India was formed in 2000 and is based in Bengaluru, India with additional offices in Mumbai and New Delhi, India; Singapore, Menlo Park, California, Herzliya, Israel, Hong Kong, and Beijing, Shanghai, China. Sequoia Capital India operates as a subsidiary of Sequoia Capital.",Sequoia Capital India helps founders across India and Southeast Asia in building their companies.,aff834d7d30f4d00b719091c7f57dd60,2018,8
United States,California,San Francisco,Scale API,"Scale accelerates the development of AI applications by helping computer vision teams generate high-quality ground truth data. Our advanced LiDAR, video, and image annotation APIs allow self-driving, drone, and robotics teams at companies like nuTonomy, Nuro, Voyage, Embark, Lyft, Pinterest, and Airbnb focus on building differentiated models vs. labeling data.

Our APIs include: Sensor Fusion, Semantic Segmentation, 2D Boxes/Polygons, Video, 3D Cuboids, Lines & Splines",Scale is an API for training data that provides access to human-powered data for hundreds of use cases.,"'Autonomous Vehicles', 'Task Management', 'Developer APIs', 'Machine Learning', 'Image Recognition'","'Transportation', 'Software', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Data and Analytics', 'Software'",scale-2,2018-08-07,venture,B,18000000.0,5.0,Index Ventures,Organization,venture_capital,"Index Ventures is a multi-stage international venture capital firm that backs the best and most ambitious entrepreneurs. These leaders are building truly transformative companies that are reshaping the world around them, including:  Dropbox, Etsy, Sonos, SoundCloud, Flipboard, King, BlaBlaCar, Squarespace, Just Eat, Lookout, Hortonworks, Nasty Gal, Pure Storage, Supercell, Criteo, Funding Circle and many others. 

Index is built on the sturdy foundation of a tight-knit collaborative partnership that retains a shared mission of putting entrepreneurs first.  To them, full-service means the full attention of their partnership. They structurally de-emphasize individual partner achievements and provide the full partnerships’ collective experience and expertise to their portfolio entrepreneurs. 

They’ve teamed up with exceptional entrepreneurs in 38 countries around the world and have helped them grow into new regions. Their physical presence in San Francisco and London and serve as places where their entrepreneurs can come together and jumping-off points to discover what’s next.",Index Ventures is a multi-stage international venture capital firm that backs the best and most ambitious entrepreneurs.,acc79e2ac2ea47fd90143b5b2c061c4e,2018,8
United States,California,Mountain View,Kodiak Robotics,"Kodiak Robotics develops autonomous technology for long-haul trucking.

",Kodiak Robotics develops autonomous technology for long-haul trucking.,"'Autonomous Vehicles', 'Logistics'","'Transportation', 'Transportation'",kodiak-robotics-inc,2018-08-07,venture,A,40000000.0,4.0,Battery Ventures,Organization,venture_capital,"Battery Ventures is a venture capital firm with offices in Boston, Silicon Valley, and Israel. Battery invests in potentially cutting-edge, category-defining businesses in markets including application software, IT infrastructure technologies, consumer-internet and mobile services, and industrial technologies.

 Founded in 1983, the firm backs companies at stages ranging from seed to growth and private equity.","Battery Ventures finances technology sector companies with venture capital, private equity, and debt financing investments.",457c7e1772af4dc08ae379c82a2aea59,2018,8
United States,California,San Francisco,RideOS,"rideOS’ mission is to accelerate the safe, global roll-out of next-generation transport. rideOS builds cutting-edge transportation marketplace and mapping technologies.

rideOS collaborates with numerous partners, from Silicon Valley startups, to industrial OEMs, to companies operating ride-hailing services towards revolutionizing next-generation transport systems. Today, its ETA engine and self-driving vehicle routing service are used by mobility service companies to provide on-demand transportation.

The startup consists of highly accomplished and experienced engineers that previously worked at companies like Google, Apple, Uber and Tesla. It was founded in 2017 and is based in San Francisco.",RideOS offers marketplaces/mapping services for ride-hailing fleets,"'Autonomous Vehicles', 'Mapping Services', 'Navigation', 'Transportation', 'Software'","'Transportation', 'Navigation and Mapping', 'Navigation and Mapping', 'Transportation', 'Software'",rideos,2018-08-02,venture,B,25000000.0,3.0,next47,Organization,corporate_venture_capital,"Next47 is a global venture firm created by Siemens to invest in entrepreneurs who think big and build companies that will change the way we live and work. Its strategy is to combine the speed and agility of an independent investor with the breadth of Siemens’ business and technology. The firm does not just fund companies, but also connects entrepreneurs to domain knowledge and a global customer ecosystem through three competencies.",Next47 is a global venture firm created by Siemens to invest in entrepreneurs who build companies that change the way people live and work.,e391fc0604f54b2b8b4bec71ef47161c,2018,8
China,Guangdong,Guangzhou,Xiaopeng Motors,"Xiaopeng Motors focuses on local needs and the consumer experience, while also integrating autonomous driving and internet electronic technologies, our vehicles are greater than the sum of their parts. Xpeng Motors is not only dedicated to serving every family with technology, but also to becoming a companion that truly understands you.

Xpeng is equipped with experts from top companies in the field such as Tesla, Mercedes-Benz, Porsche, Ford, Mazda, GAC Motor, Alibaba Group, Tencent, Huawei, P&G and Mi, and more. Electric cars, the Internet, and cross-border brand-retail and internet integration have made Xpeng the main pioneer of this industry.",Xiaopeng Motors integrates autonomous driving and internet electronic technologies.,"'Autonomous Vehicles', 'Electric Vehicle', 'Automotive', 'Manufacturing'","'Transportation', 'Transportation', 'Transportation', 'Manufacturing'",xiaopeng-motors,2018-08-02,venture,B,584513319.0,6.0,Primavera Capital Group,Organization,0,"Primavera Capital Group is a China-based global investment firm. With offices located in Beijing and Hong Kong, Primavera manages both RMB and USD funds for leading institutions, corporations, and families in China and around the world.
 
Primavera Capital Group was founded by Dr. Fred Hu, a renowned economist and successful investor, and a former partner and Chairman of Greater China at Goldman Sachs Group.
 
The firm currently has 30+ investment professionals with an outstanding track record. The team combines global capital market experience, deep industry knowledge, and a unique network of relationships with policy-makers and regulators as well as leading CEOs and entrepreneurs in the region and globally.
 
Primavera Capital Group puts great emphasis on rigorous fundamental research. The firm undertakes sophisticated analysis on economies, industries and companies to generate investment ideas, identify attractive opportunities, and guide its investment decisions.
 
Primavera Capital Group employs a flexible investment strategy of growth capital, buy-out and control, and special situations - restructuring, distressed, and turn-arounds, etc.","Primavera Capital Group is a china-based investment firm, focusing on private equity and special situations opportunities.",250ae6c20637485297ef74641bf6f430,2018,8
United Kingdom,Newcastle upon Tyne,Newcastle Upon Tyne,Who Can Fix My Car,"Who Can Fix My Car is a UK based on-line car repair and servicing marketplace.

Drivers nationwide benefit from receiving quotes from local garages and are able to compare on price and real customer feedback.",Who Can Fix My Car is an online car repair and servicing marketplace enabling users to obtain quotations from garages.,"'Autonomous Vehicles', 'Marketing Automation', 'Automotive', 'Customer Service'","'Transportation', 'Sales and Marketing', 'Software', 'Transportation'",who-can-fix-my-car,2018-08-02,venture,0,5206299.0,4.0,0,0,0,0,0,1444a823f190491c96eb4c3b876ed822,2018,8
